子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
彼が{{c1::いかにも}}おいしそうに食べるので、私もつい食べ過ぎてしまった。	いかにも<br>まことに<br>まさしく<br>はなはだ
その関係の書類ならひとつにまとめて{{c1::ファイル}}に入れてあります。	ファイル<br>タイトル<br>カルテ<br>データ
たくさんの女子社員の中から彼女を選ぶなんて君は{{c1::目}}が高いね。	目<br>鼻<br>頭<br>足
旅行に出る前の晩にはしっかり準備を{{c1::ととのえて}}から寝る。	ととのえて<br>おとろえて<br>とどこおって<br>しなびて
久し振りに郷里に帰ったら、すっかり駅が新しくなっていて{{c1::まごついて}}しまった。	まごついて<br>まぎれて<br>むらがって<br>ふくれて
この部屋なら学生には{{c1::申し分}}ないと思いますよ。	申し分<br>申し訳<br>申し込み<br>申出
この作家は短い文の中に要点がきちんとまとめられた{{c1::簡潔}}で美しい文章を書きます。	簡潔<br>簡易<br>簡素<br>簡単
時折、{{c1::原点}}に立ち返って、平和運動を見直すことが肝心です。	原点<br>視点<br>観点<br>頂点
他店に{{c1::対抗}}して売上をあげるためには営業時間の延長が不可欠です。	対抗<br>抵抗<br>反抗<br>抗争
{{c1::資金}}の運用をあやまって、会社を倒産させてしまった。	資金<br>資本<br>資源<br>資産
判決に{{c1::不服}}があれば、上級の裁判所に訴えることができる。	不服<br>不審<br>不正<br>不振
やはり棚はもっと{{c1::たいらな}}ところに置かないと安定しなくて危ないよ。	たいらな<br>ひさしい<br>しかくい<br>まんまるい
{{c1::肝心な}}ことはあなたに本当にこの仕事をやる気があるかどうかです。	肝心な<br>簡潔な<br>正当な<br>勝手な
真面目で{{c1::誠実な}}方なので結婚しようと決めました。	誠実な<br>忠実な<br>滑けいな<br>正常な
{{c1::とかく}}この世の中は住みにくいと言うが、結構、楽しいこともある。	とかく<br>とりわけ<br>ことに<br>まして
最近の子供は両親や祖父母に{{c1::ちやほや}}されて育つので自己中心的になりがちです。	ちやほや<br>あやふや<br>あべこべ<br>めちゃくちゃ
この服は{{c1::デザイン}}も色も素敵だなと思うと、高くて手が出ないことが多い。	デザイン<br>デザート<br>レッスン<br>デッサン
次から次に子供に教育費がかかって、全く{{c1::頭}}が痛いよ。	頭<br>耳<br>胸<br>腹
帰宅したら自分の部屋に{{c1::こもって}}、テレビｹﾞｰﾑに熱中している。	こもって<br>こって<br>こりて<br>うまって
目を{{c1::つぶる}}と、幼い日に遊んだふるさとの情景が目に浮ぶ。	つぶる<br>にぶる<br>ねだる<br>たどる
道がカーブしている上に強い雨のせいで{{c1::見通し}}が悪く、運転は危険な状況だった。	見通し<br>見積もり<br>見込み<br>見晴らし
この会社では毎年1月1日は全員出社して、新年の挨拶をするのが{{c1::慣例}}になっている。	慣例<br>定例<br>習慣<br>家風
裏面に{{c1::記載}}されている注意事項をよく読んでおいてください。	記載<br>掲載<br>記述<br>記録
デパートやスーパーにはいくつもの防犯カメラが{{c1::設置}}してあります。	設置<br>措置<br>処置<br>装置
彼は不正を暴露され{{c1::失脚}}してしまった。	失脚<br>失格<br>失調<br>失望
地域住民の{{c1::要望}}により高速道路の騒音防止対策委員会が発足した。	要望<br>祈願<br>用命<br>救済
成田空港に着いたとき、友人が迎えにきてくれたので本当に{{c1::こころづよくて}}助かった。	こころづよくて<br>このましくて<br>こころよくて<br>こころぼそくて
山奥の温泉宿は静かで、土地の人達は{{c1::素朴}}で都会か来た客に優しかった。	素朴<br>単調<br>無難<br>簡素
判断の基準が違う外国との交渉に臨むときには、特に{{c1::柔軟な}}姿勢が必要とされる。	柔軟な<br>自在な<br>健全な<br>円満な
あのお宅は、{{c1::時折}}話し声がすることもありますが、普通は留守がちですよ。	時折<br>しょっちゅう<br>頻繁に<br>たいがい
{{c1::せんだって}}お約束した件について、もう一度ご相談したいと思います。	せんだって<br>さきに<br>かつて<br>まえもって
部屋の鍵はホテルの{{c1::フロント}}で受け取ってください。	フロント<br>コーナー<br>ケース<br>スペース
ここはひとつ私の{{c1::顔}}を立てて許してやってください。	顔<br>腹<br>腕<br>気
１度や２度{{c1::しくじった}}からといって、あきらめるのはまだ早いよ。	しくじった<br>さとった<br>いじった<br>ののしった
古いアルバムを{{c1::めくる}}と、写真の１枚１枚に思い出がつまっていて懐かしい。	めくる<br>むしる<br>とじる<br>しみる
もう子供ではありませんから私の保護者のように{{c1::振る舞う}}のはやめてください。	振る舞う<br>振り向く<br>振り出す<br>振り返る
あの女優は{{c1::気品}}があるから、今度の映画作品の主人公に選ばれた。	気品<br>気風<br>気質<br>気立て
{{c1::規律}}ある生活をするようにl心掛けて暮しています。	規律<br>規則<br>規約<br>規範
各国間の意見の{{c1::調整}}に時間がかかって、なかなか声明が発表できない。	調整<br>調停<br>調和<br>調印
会社の{{c1::収益}}の一部で車椅子を購入し、障害者の施設に寄付した。	収益<br>収穫<br>収集<br>収支
彼は会社に忠実でまじめな{{c1::模範}}的社員だったのに、すっかり変わってしまった。	模範<br>規模<br>模倣<br>模様
近年、東南アジアの経済の発展は{{c1::いちじるしく}}、日本の企業もたくさん進出している。	いちじるしく<br>おびただしく<br>はなばなしく<br>ややこしく
毎日の基本練習を{{c1::おろそかに}}すると、決してプロとして良い成績を残すことはできない。	おろそかに<br>うつろに<br>おろかに<br>ばかばかしく
社員研修の{{c1::おおまかな}}日程が決まりましたので発表します。	おおまかな<br>こまやかな<br>おおはばな<br>おおがらな
別れてしまった人に、{{c1::いまさら}}愛していますとは言いにくい。	いまさら<br>いまだ<br>もはや<br>なおさら
お忙しいとおもいますが、当日はご参加くださいますように{{c1::なにとぞ}}よろしくお願い致します。	なにとぞ<br>なるたけ<br>ひいては<br>ひたすら
私なんて会社という大きな{{c1::システム}}の歯車の一つでしかない。	システム<br>ポイント<br>ポジション<br>セクション
いまどき、{{c1::おご}}でひとを使ったりしては、若い者はやめてしまいますよ。	おご<br>目<br>顔<br>足
３日前に海で遭難した人を乗せた救命ボートが{{c1::ただよって}}いるのが見つかった。	ただよって<br>うかって<br>とろけて<br>さぼって
今、外国企業との技術提携の準備に{{c1::たずさわって}}いるので、とてもほかまで手が回らない。	たずさわって<br>たてまつって<br>つかさどって<br>たまわって
大学受験２か月前ともなると勉強も{{c1::追い込み}}に入ります。	追い込み<br>追い出し<br>追いつき<br>追い越し
オリンピックのために{{c1::壮大な}}規模の競技場が建設されました。	壮大な<br>膨大な<br>拡大な<br>盛大な
新しい会社を設立する{{c1::構想}}を練っているところです。	構想<br>機構<br>構造<br>構成
東京の中心部では住民の減少により、小学校の{{c1::統合}}が相次いでいる。	統合<br>統治<br>統制<br>統率
{{c1::推測}}でものを判断すると大変な間違いを犯す。	推測<br>推理<br>推定<br>推進
最近は化学肥料を使わない{{c1::有機}}農業というものが見直されている。	有機<br>有益<br>有望<br>有能
台風のせいで{{c1::おびただしい}}量の土や砂が上流から流れてきた。	おびただしい<br>ばかばかしい<br>いちじるしい<br>まぎらわしい
{{c1::不意に}}飛び出してきた子供を危うく車ではねるところだった。	不意に<br>身近に<br>無邪気に<br>早急に
親にうそをつくような子供は{{c1::ろくな}}人間になれないと父に厳しく叱られた。	ろくな<br>おろかな<br>寛容な<br>好評な
{{c1::なんだか}}きょうはひどく機嫌がいいですね、何か良いことがあったんですか。	なんだか<br>どうやら<br>どうにか<br>なんなり
きょうは風雨が強くなるそうだ。{{c1::ことによると}}野球の試合は中止になるかも知れないね。	ことによると<br>しかしながら<br>案の定<br>にもかかわらず
外国人のスピーチ{{c1::コンテスト}}があるので一生懸命暗記しています。	コンテスト<br>コントラスト<br>コンタクト<br>コントロール
政治運動に{{c1::首}}を突っ込みすぎて、家庭が崩壊してしまった・	首<br>顔<br>足<br>頭
体の調子が良いと、どんどん仕事が{{c1::はかどる}}。	はかどる<br>たばねる<br>またがる<br>ゆさぶる
肉体的、精神的に余裕がないと他人を{{c1::いたわる}}やさしさを失いがちである。	いたわる<br>あやまる<br>あやつる<br>おしむ
長い間住み慣れた土地には{{c1::未練}}が残る。	未練<br>未定<br>未知<br>未熟
その喫茶店を探すときは何か{{c1::目印}}となるような建物がありますか。	目印<br>目安<br>目途<br>目付き
東京都はゴミの{{c1::分別}}収集を徹底するために透明ゴミ袋をくばった。	分別<br>個別<br>区別<br>差別
会議の前に{{c1::配布}}した資料に目を通しておいてください。	配布<br>配分<br>配達<br>配列
{{c1::所定}}の用紙に必要事項を書いて３番の窓口に提出してください。	所定<br>所属<br>所在<br>所持
